#time,accel_x,accel_y,accel_z
2995.826142,-4036.623999,-5243.301636,-8226.476904
2995.826389,-4118.026855,-5056.553906,-10084.377393
2995.826635,-2691.082666,-1690.306372,-9993.397729
2995.826881,-1254.561670,4343.081812,-7814.674219
2995.827127,-296.881006,10702.081421,-4965.574243
2995.827373,746.990918,14920.664746,-5358.223315
2995.827619,871.489404,16898.275317,-6277.596753
2995.827866,1781.286035,16539.145068,-8576.030347
2995.828112,2628.833423,14346.056348,-9390.058911
2995.828358,2782.062329,12684.480396,-6488.286499
2995.828604,3136.404175,13158.532324,-5679.046338
2995.828850,3936.067529,17410.634473,-4917.690210
2995.829096,4022.258789,23831.883325,-7489.062793
2995.829342,3696.647363,29759.926636,-10232.817896
2995.829589,3050.212915,34304.121387,-9911.994873
2995.829835,2571.372583,36454.114478,-9706.093530
2995.830081,2715.024683,35525.164233,-7982.268335
2995.830327,2758.120312,32388.760059,-8729.259253
2995.830573,3169.922998,27882.872534,-11022.904443
2995.830819,3098.096948,22543.802832,-12210.428467
2995.831065,2059.013428,17956.512451,-12066.776367
2995.831312,1273.715283,13982.137695,-10606.313354
2995.831558,852.335791,9720.458740,-9744.400757
2995.831804,502.782349,5999.869360,-10797.849487
2995.832050,632.069238,4113.238452,-12698.845605
2995.832296,612.915625,3045.424512,-13819.331982
2995.832542,-445.321509,2695.871069,-13215.993164
2995.832789,-847.547388,1814.804858,-11707.646118
2995.833035,95.768066,-1551.442676,-10994.174023
2995.833281,1288.080493,-5516.240625,-12076.353174
2995.833527,876.277808,-4917.690210,-14164.097021
2995.833773,-952.892261,-4161.122485,-14920.664746
2995.834019,-1613.691919,-6009.446167,-13948.618872
2995.834265,-919.373437,-9255.983618,-12081.141577
2995.834512,-14.365210,-14216.769458,-10453.084448
2995.834758,426.167896,-18684.349756,-12157.756030
2995.835004,-550.666382,-20681.113940,-13532.027783
2995.835250,-2082.955444,-21744.139478,-14125.789795
2995.835496,-2164.358301,-23281.216943,-12904.746948
2995.835742,-1379.060156,-24660.277100,-9543.287817
2995.835988,-588.973608,-27116.728003,-9112.331519
2995.836235,-71.826050,-28524.518579,-9864.110840
2995.836481,253.785376,-27284.322119,-10553.640918
2995.836727,502.782349,-25349.807178,-11444.283936
2995.836973,359.130249,-25728.091040,-8872.911353
2995.837219,-301.669409,-27571.626318,-7129.932544
2995.837465,-1005.564697,-27504.588672,-6770.802295
2995.837711,-2102.109058,-22759.280981,-8216.900098
